metric,value
Headline estimator,"Two-way FE, Driscoll-Kraay SE"
Hausman diagnostic,Diagnostic only; RE failed (float division by zero)
Hausman p-value,n/a
Hausman raw statistic,n/a
Hausman negative-statistic flag,False
FE vs RE comparison note,random_effects_failed
Diagnostic model note,BP/White/condition-number diagnostics use pooled OLS residuals/design; Pesaran CD uses FE-DK residuals.
Pesaran CD statistic,-0.4329
Pesaran CD p-value,0.6651
Condition number,3837.7614
Breusch-Pagan LM p-value,0.0000
White LM p-value,0.0004
Max VIF,7.2579
Lost-country note,"Brunei Darussalam, Indonesia, Malaysia, Philippines, Singapore, Thailand, Viet Nam"
