metric,value
Headline estimator,"Two-way FE, Driscoll-Kraay SE"
Hausman diagnostic,Diagnostic only; RE failed (float division by zero)
Hausman p-value,n/a
Hausman raw statistic,n/a
Hausman negative-statistic flag,False
FE vs RE comparison note,random_effects_failed
Diagnostic model note,BP/White/condition-number diagnostics use pooled OLS residuals/design; Pesaran CD uses FE-DK residuals.
Pesaran CD statistic,-1.8502
Pesaran CD p-value,0.0643
Condition number,3028.3276
Breusch-Pagan LM p-value,0.0000
White LM p-value,0.0000
Max VIF,102.0865
Lost-country note,Reference or no adjacent loss audit
