,count,mean,std,min,25%,50%,75%,max,missing,missing_pct
fdi_pct_gdp,260.0,4.918276032536514,6.170214298687959,-16.205300487870637,1.8825579762373439,3.257754236231711,5.378594837372315,32.59646101303017,4,1.5151515151515151
broad_money_growth_pct,240.0,14.31040846232033,11.819303333567696,-11.930384714943235,6.169359897252916,10.574540672692004,19.964245153743843,61.83649684511069,24,9.090909090909092
inflation_gdp_deflator_pct,264.0,5.2975709071895345,8.235396826209191,-21.73926671019896,1.7464681393034773,3.886851355274082,7.309705951594424,59.07967755601141,0,0.0
trade_pct_gdp,240.0,131.9226070562216,85.76734470385085,32.97217540024274,75.09189092041244,116.69484417868162,140.3708036240954,437.3267148910571,24,9.090909090909092
ln_gdppc,264.0,24.71873745440392,2.0186024245033383,19.720666053716037,23.302810892603862,25.20520243142674,26.452332139542314,27.946684996531452,0,0.0
xr_dep_pct,253.0,2.700178369915618,30.527486823218513,-13.361521120667064,-2.350736503517681,0.1278548073185115,2.605025154150126,476.795463489171,11,4.166666666666666
deposit_interest_rate_pct,213.0,4.080386681751181,3.5597659505040724,0.121666666666667,1.3380375,3.04810778727445,6.4475,15.5025,51,19.318181818181817
real_interest_rate_pct,205.0,4.85827039937778,8.252453821564915,-30.12317017812921,1.2894169521310854,4.225382135084975,7.484174278915789,41.29380330214884,59,22.348484848484848
lending_interest_rate_pct,192.0,9.783218400762268,6.392166376880117,3.06,5.38,6.811624999999999,12.619375,32.0,72,27.27272727272727
ln_tourism_arrivals,240.0,15.257552189682846,1.1496500397231741,12.9384405392434,14.381718539306874,15.261956597572532,16.13349419140043,17.50228780398634,24,9.090909090909092
hc_human_capital_index,240.0,2.3834680234392485,0.4758342386234435,1.51568937301636,1.9111647009849575,2.48078465461731,2.72147631645203,3.39934206008911,24,9.090909090909092
